id,name,metric,marca
63686,Amarok,5248,Volkswagen
63613,Hilux,4798,Toyota
389468,Ecosport,3963,Ford
9301,208,3841,Peugeot
67429,Ranger,3487,Ford
60334,Corolla,3399,Toyota
1252874,Gol Trend,3391,Volkswagen
60485,Clio,2841,Renault
68902,Ka,2693,Ford
5246,308,2693,Peugeot
1252871,Suran,2612,Volkswagen
64016,Vento,2609,Volkswagen
9215,207,2547,Peugeot
60482,Kangoo,2423,Renault
123123,Onix,2401,Chevrolet
68050,Palio,2334,Fiat
62109,Gol,2297,Volkswagen
228452,Cronos,2249,Fiat
1252852,Focus III,2238,Ford
389473,Etios,2131,Toyota
64855,Duster,2063,Renault
69370,Tracker,1978,Chevrolet
1252860,Fiesta Kinetic Design,1916,Ford
61557,Golf,1730,Volkswagen
9003,C3,1718,Citroën
66905,Cruze,1712,Chevrolet
36763,Fox,1602,Volkswagen
60694,Sandero,1598,Renault
2318132,Cruze 5,1595,Chevrolet
7227,S10,1589,Chevrolet
389608,SW4,1574,Toyota
60677,Bora,1486,Volkswagen
194417,Prisma,1370,Chevrolet
53433,206,1354,Peugeot
7167,408,1307,Peugeot
389577,Renegade,1289,Jeep
1007090,Sandero Stepway,1237,Renault
32212,Civic,1164,Honda
389627,Toro,1163,Fiat
389632,Up!,1148,Volkswagen
37720,Fit,1104,Honda
66398,Serie 3,1073,BMW
66609,Corsa,1047,Chevrolet
561190,Partner,1019,Peugeot
6473,Classic,1016,Chevrolet
1252864,Cruze II,1014,Chevrolet
389514,HR-V,1002,Honda
73530,Uno,990,Fiat
60561,CR-V,982,Honda
1252930,C4 Lounge,977,Citroën
389401,Berlingo,964,Citroën
61695,Polo,953,Volkswagen
329756,Siena,929,Fiat
62198,Logan,926,Renault
389648,Voyage,907,Volkswagen
225156,Spin,903,Chevrolet
65895,2008,899,Peugeot
36046,307,888,Peugeot
561187,Sprinter,872,Mercedes-Benz
66459,A4,843,Audi
16696,Compass,829,Jeep
503625,Clase C,823,Mercedes-Benz
389483,Fiorino,803,Fiat
9069,500,790,Fiat
12098,C4,789,Citroën
1148994,Kwid,771,Renault
73890,Punto,771,Fiat
66659,Fiesta,732,Ford
60789,Saveiro,727,Volkswagen
68820,Strada,716,Fiat
59350,A3,707,Audi
66351,Serie 1,673,BMW
84465,Agile,645,Chevrolet
63360,Fluence,610,Renault
389467,Duster Oroch,608,Renault
2220947,Partner Patagónica,589,Peugeot
64614,Captur,588,Renault
61646,3008,569,Peugeot
389419,Celta,553,Chevrolet
1252858,Focus II,550,Ford
1119416,Argo,533,Fiat
42649,Journey,527,Dodge
275412,Mobi,525,Fiat
67566,Mondeo,517,Ford
389394,Aircross,513,Citroën
503622,Clase A,500,Mercedes-Benz
61198,Frontier,494,Nissan
389476,F-100,493,Ford
8037,1500,489,RAM
84809,Tucson,484,Hyundai
60253,Passat,479,Volkswagen
100811,Pulse,475,Fiat
513724,Master,466,Renault
68463,Focus,462,Ford
7698,A1,455,Audi
2726240,A3 Sportback,452,Audi
60983,Grand Cherokee,447,Jeep
60102,Fun,441,Suzuki
67001,Sonic,440,Chevrolet
66540,Meriva,430,Chevrolet
2109371,C4 Cactus,422,Citroën
67158,Escort,418,Ford
64402,Versa,397,Nissan
60337,Yaris,395,Toyota
1007118,Kicks,392,Nissan
1252859,Kuga,386,Ford
15180,Astra,382,Chevrolet
60651,RAV4,378,Toyota
31172,Q5,375,Audi
61186,Tiida,373,Nissan
389621,Tiggo,365,Chery
389654,Xsara Picasso,363,Citroën
68141,Captiva,361,Chevrolet
7556085,T-Cross,357,Volkswagen
61627,March,343,Nissan
61710,Accord,338,Honda
389463,DS3,333,Citroën
62015,City,323,Honda
60043,Note,316,Nissan
3936,L200,312,Mitsubishi
389594,Sorento,312,Kia
64669,Santa Fe,307,Hyundai
389601,Sportage,306,Kia
503629,Clase E,301,Mercedes-Benz
66140,Pick-Up,301,Isuzu
389408,C3 Picasso,291,Citroën
61537,Tiguan,290,Volkswagen
61071,Sentra,281,Nissan
60078,Idea,281,Fiat
60377,Megane,280,Renault
4669133,405,278,Peugeot
389502,Grand Siena,275,Fiat
76499,Ducato,270,Fiat
2662817,Virtus,269,Volkswagen
51558,306,265,Peugeot
2251655,Tiguan Allspace,263,Volkswagen
1252887,Mégane II,260,Renault
6520,X1,258,BMW
389466,Duna,256,Fiat
66531,Serie 5,251,BMW
389423,Chery QQ,244,Chery
1148987,Daily,242,Iveco
389629,Trailblazer,240,Chevrolet
61534,Crossfox,239,Volkswagen
72638,Q3,234,Audi
2109392,R19,227,Renault
1252849,Qubo,223,Fiat
1252875,Scirocco,222,Volkswagen
6387,X5,221,BMW
69328,Vectra,220,Chevrolet
14685,504,218,Peugeot
52379,H1,214,Hyundai
503630,Clase B,213,Mercedes-Benz
493857,Polo Classic,212,Volkswagen
58843,147,208,Fiat
389448,Corsa Classic,208,Chevrolet
8679212,Ranger Raptor,208,Ford
1252903,Boxer,206,Peugeot
60382,Koleos,200,Renault
61393,Vito,196,Mercedes-Benz
1252978,Cooper S,187,Mini
2953881,Taos,184,Volkswagen
8818143,Nivus,184,Volkswagen
73586,Serie 2,182,BMW
67967,Zafira,181,Chevrolet
121559,A5,180,Audi
26638,Transit,178,Ford
1252897,Scénic,177,Renault
2220976,Tiggo 3,175,Chery
62233,Trafic,175,Renault
503711,Mito,171,Alfa Romeo
8796,X3,170,BMW
389630,Twingo,166,Renault
8938,Wrangler,163,Jeep
66416,Cooper,162,Mini
69114,Aveo,162,Chevrolet
389611,Symbol,159,Renault
389446,Cobalt,157,Chevrolet
8818123,Onix plus,157,Chevrolet
5958853,Alaskan,157,Renault
66502,PT Cruiser,155,Chrysler
61232,Cherokee,154,Jeep
1252861,Aveo G3,154,Chevrolet
3228233,A1 Sportback,153,Audi
16270,X6,149,BMW
1252872,The Beetle,147,Volkswagen
11510704,Corolla Cross,147,Toyota
389417,Carnival,146,Kia
9836865,Territory,146,Ford
389564,Passat Variant,145,Volkswagen
43756,S3,144,Audi
93447,F-150,143,Ford
389591,Serie M,143,BMW
60412,Land Cruiser,142,Toyota
62828,Grand Vitara,137,Suzuki
8701048,A5 Sportback,137,Audi
66902,Montero,136,Mitsubishi
9857,5008,132,Peugeot
42934,Expert,132,Peugeot
61574,CC,132,Volkswagen
1252940,Clase GLC,130,Mercedes-Benz
9894,205,129,Peugeot
2220940,Cooper Countryman,128,Mini
26347,NP300,127,Nissan
389642,Vitara,125,Suzuki
63273,Forester,122,Subaru
389410,C4 Picasso,122,Citroën
60259,911,120,Porsche
60439,Cayenne,119,Porsche
79790,R9,118,Renault
60397,Patriot,117,Jeep
1252900,Mégane III,117,Renault
37931,A6,115,Audi
503632,Clase GLK,115,Mercedes-Benz
1252939,Clase GLA,114,Mercedes-Benz
1252867,Suran Cross,114,Volkswagen
65389,X-Trail,114,Nissan
10279,301,113,Peugeot
22349,Q2,109,Audi
64491,Evoque,108,Land Rover
61722,Touareg,108,Volkswagen
42378,407,107,Peugeot
389560,Palio Weekend,104,Fiat
60461,Impreza,103,Subaru
15698,Q7,103,Audi
503710,ML,103,Mercedes-Benz
62713,Sharan,102,Volkswagen
389420,Cerato,101,Kia
75044,Ram,101,Dodge
123144,Rio,100,Kia
62274,406,99,Peugeot
1007110,Creta,99,Hyundai
9560,Genesis,98,Hyundai
60388,Camry,98,Toyota
235012,Soul,98,Kia
66694,TT,98,Audi
55925,Spark,97,Chevrolet
43731,Swift,96,Suzuki
47303,508,96,Peugeot
71529,Giulietta,95,Alfa Romeo
63661,XC60,95,Volvo
67931,Lancer,94,Mitsubishi
71137,Serie 4,93,BMW
2220968,Tiggo 5,93,Chery
60465,Partner Furgon,93,Peugeot
493856,Golf Variant,93,Volkswagen
66422,Blazer,93,Chevrolet
60784,Fortwo,92,Smart
66002,R12,92,Renault
63213,I30,92,Hyundai
389623,Tipo,91,Fiat
62158,Caddy,90,Volkswagen
60959,Pathfinder,90,Nissan
67077,Discovery,90,Land Rover
47233,505,89,Peugeot
71652,Linea,89,Fiat
1007112,Tiggo 2,89,Chery
389524,Jumper,88,Citroën
66640,Equinox,87,Chevrolet
71835,Defender,87,Land Rover
