marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
ford,focus,2.0 Exe Sedan Ghia,1999 cc,1,7000,USD,2010,167000 km,0,1,MLA1438216516,https://auto.mercadolibre.com.ar/MLA-1438216516-ford-focus-ii-2010-20-exe-sedan-ghia-_JM
ford,focus,1.8 Exe Sedan Tdci Ghia,1.8 L,0,6000,USD,2010,172000 km,0,1,MLA1433080014,https://auto.mercadolibre.com.ar/MLA-1433080014-ford-focus-ii-2010-18-exe-sedan-tdci-ghia-_JM
ford,focus,EXE GHIA 2.0,1.8 L,1,3000000,ARS,2010,164000 km,0,1,MLA1434512934,https://auto.mercadolibre.com.ar/MLA-1434512934-ford-focus-exe-ghia-20-4p-_JM
ford,focus,Tdci 1.8 duratorq,1.8 L,0,2600000,ARS,2010,180000 km,0,1,MLA1374692885,https://auto.mercadolibre.com.ar/MLA-1374692885-ford-focus-tdci-18-duratorq-_JM
ford,focus,1.8 tdci 5 puertas,1.8 L,0,2800000,ARS,2010,127000 km,0,1,MLA1374357055,https://auto.mercadolibre.com.ar/MLA-1374357055-ford-focus-18-tdci-5-puertas-_JM
ford,focus,Ghia 2.0,1.8 L,1,2980000,ARS,2010,170000 km,0,1,MLA1429243224,https://auto.mercadolibre.com.ar/MLA-1429243224-ford-focus-ghia-20-_JM
ford,focus,Tren plus 2.0,1.8 L,0,2950000,ARS,2010,130000 km,0,1,MLA1429085270,https://auto.mercadolibre.com.ar/MLA-1429085270-ford-focus-tren-plus-20-_JM
ford,focus,2.0 Exe Sedan Ghia,2 L,1,2950000,ARS,2010,97000 km,0,1,MLA1435877138,https://auto.mercadolibre.com.ar/MLA-1435877138-ford-focus-ll-20-exe-sedan-ghia-_JM
ford,focus,2.0 Trend Plus,2 L,1,2870000,ARS,2010,143500 km,0,1,MLA1433401564,https://auto.mercadolibre.com.ar/MLA-1433401564-ford-focus-2-exe-trend-plus-20-financio-_JM
ford,focus,1.8 Tdci Ghia Mt,1753 cc,0,2990000,ARS,2010,138000 km,0,1,MLA1434756938,https://auto.mercadolibre.com.ar/MLA-1434756938-ford-focus-ghia-tdci-recibo-menor-financio-_JM
ford,focus,2.0 Trend Plus,1999 cc,1,2990000,ARS,2010,144900 km,0,1,MLA1379239904,https://auto.mercadolibre.com.ar/MLA-1379239904-ford-focus-ii-20-trend-plus-_JM
ford,focus,1.8 Tdci Trend Plus,1753 cc,0,2800000,ARS,2010,122000 km,0,1,MLA1408974644,https://auto.mercadolibre.com.ar/MLA-1408974644-ford-focus-ii-2010-18-tdci-trend-plus-_JM
ford,focus,TREND PLUS 2.0 N,1753 cc,1,1180010,ARS,2010,140000 km,0,1,MLA1380363120,https://vehiculo.mercadolibre.com.ar/MLA-1380363120-ford-focus-ii-trend-plus-20-n-chocado-poco-funcionando-_JM
ford,focus,Treend plus,1753 cc,1,3200000,ARS,2010,175000 km,0,1,MLA1435267976,https://auto.mercadolibre.com.ar/MLA-1435267976-ford-focus-treend-plus-_JM
ford,focus,Trend plus 1.8 L,1753 cc,0,2750000,ARS,2010,188000 km,0,1,MLA1429893770,https://auto.mercadolibre.com.ar/MLA-1429893770-ford-focus-2010-solo-efectivo-_JM
ford,focus,2.0 Trend Plus,1999 cc,1,2990000,ARS,2010,144900 km,0,1,MLA1379185178,https://auto.mercadolibre.com.ar/MLA-1379185178-ford-focus-ii-2010-20-trend-plus-_JM
ford,focus,1.6 Trend Sigma,1.6 L,1,3200000,ARS,2010,120000 km,0,1,MLA1435314638,https://auto.mercadolibre.com.ar/MLA-1435314638-ford-focus-ii-2010-16-trend-sigma-_JM
ford,focus,1.8 Tdci Ghia Mt,1753 cc,0,2600000,ARS,2010,227047 km,0,1,MLA1427404628,https://auto.mercadolibre.com.ar/MLA-1427404628-ford-focus-_JM
ford,focus,1.8 Tdci Ghia Mt,1.8 L,0,2600000,ARS,2010,143000 km,0,1,MLA1437844106,https://auto.mercadolibre.com.ar/MLA-1437844106-ford-focus-tdci-ghia-_JM
ford,focus,1.8 Exe Sedan Tdci Style,1753 cc,0,3200000,ARS,2010,142000 km,0,1,MLA1428054738,https://auto.mercadolibre.com.ar/MLA-1428054738-ford-focus-ll-exe-tdci-_JM
ford,focus,2.0 Trend Plus,1999 cc,1,9500,USD,2010,148000 km,0,1,MLA1371355389,https://auto.mercadolibre.com.ar/MLA-1371355389-ford-focus-ii-2010-20-trend-plus-blindado-rb3-roma-cars-_JM
ford,focus,1.8 Exe Sedan Tdci Trend Plus,1753 cc,0,2990000,ARS,2010,132500 km,0,1,MLA1373211865,https://auto.mercadolibre.com.ar/MLA-1373211865-ford-focus-ii-18-exe-sedan-tdci-trend-plus-_JM
ford,focus,2.0 Trend Plus,2 L,1,6200,USD,2010,153000 km,0,1,MLA1373494895,https://auto.mercadolibre.com.ar/MLA-1373494895-ford-focus-ii-2010-20-trend-plus-_JM
ford,focus,Gia 2.0,2 L,1,3300000,ARS,2010,135000 km,0,1,MLA1434735074,https://auto.mercadolibre.com.ar/MLA-1434735074-ford-focus-gia-20-_JM
ford,focus,2.0 Ghia Mt,1999 cc,1,3000000,ARS,2010,170000 km,0,1,MLA1414230772,https://auto.mercadolibre.com.ar/MLA-1414230772-ford-focus-20-ghia-5p-2010-_JM
ford,focus,Focus 2.0 Guía,1999 cc,1,2500000,ARS,2010,180000 km,0,1,MLA1368653933,https://auto.mercadolibre.com.ar/MLA-1368653933-ford-focus-focus-20-guia-_JM
ford,focus,Tren exe 1.6,1999 cc,0,2900000,ARS,2010,174000 km,0,1,MLA1436811956,https://auto.mercadolibre.com.ar/MLA-1436811956-ford-focus-tren-exe-16-_JM
ford,focus,2.0 Ghia Mt,1999 cc,1,8000,USD,2010,71000 km,0,1,MLA1373619319,https://auto.mercadolibre.com.ar/MLA-1373619319-ford-focus-_JM
ford,focus,Trend Plus 5P 2.0,1999 cc,1,3600000,ARS,2010,117000 km,0,1,MLA1420584544,https://auto.mercadolibre.com.ar/MLA-1420584544-ford-focus-trend-plus-5p-20-ano-2010-claudioautosjnn-_JM
