marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
kia,sorento,2.2 Ex Premium 4x4 6at,2199 cc,0,20900,USD,2014,171000 km,1,0,MLA1426866402,https://auto.mercadolibre.com.ar/MLA-1426866402-kia-sorento-ex-22-crdi-at-premium-2014-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,18000,USD,2013,166000 km,0,0,MLA1426265872,https://auto.mercadolibre.com.ar/MLA-1426265872-kia-sorento-2013-2012-2014-sportage-tucson-hyundai-honda-crv-_JM
kia,sorento,2.2 Ex Premium 4x4 6at,2.2 L,0,22900,USD,2014,93000 km,1,0,MLA1371939335,https://auto.mercadolibre.com.ar/MLA-1371939335-kia-sorento-2014-22-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2.4 L,1,8200000,ARS,2014,160000 km,0,0,MLA1436000798,https://auto.mercadolibre.com.ar/MLA-1436000798-kia-sorento-24-ex-4x2-6at-_JM
kia,sorento,2.4 Ex Premium 4x4 6at,2.4 L,1,25800,USD,2014,71000 km,1,0,MLA1433452650,https://auto.mercadolibre.com.ar/MLA-1433452650-kia-sorento-2014-24-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2349 cc,1,8400000,ARS,2014,140000 km,0,0,MLA1437813164,https://auto.mercadolibre.com.ar/MLA-1437813164-kia-sorento-_JM
kia,sorento,2.4 Ex 4x2 6at,2.4 L,1,17600,USD,2014,161000 km,0,0,MLA1370339901,https://auto.mercadolibre.com.ar/MLA-1370339901-kia-sorento-ex-24-4x2-_JM
kia,sorento,2.4 Ex Premium 4x4 6at,2.4 L,1,6900000,ARS,2014,290000 km,1,0,MLA1429798746,https://auto.mercadolibre.com.ar/MLA-1429798746-kia-sorento-2014-24-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2.4 L,1,20500,USD,2014,90000 km,0,0,MLA1421245952,https://auto.mercadolibre.com.ar/MLA-1421245952-kia-sorento-2014-24-ex-4x2-6at-_JM
kia,sorento,2.2 Ex Premium 4x4 6at,2.2 L,0,22800,USD,2014,147800 km,1,0,MLA1374267001,https://auto.mercadolibre.com.ar/MLA-1374267001-kia-sorento-2014-22-ex-premium-4x4-6at-_JM
kia,sorento,2.4 Ex 4x2 6at,2.4 L,1,8800000,ARS,2014,86000 km,0,0,MLA1374721561,https://auto.mercadolibre.com.ar/MLA-1374721561-kia-sorento-2014-24-ex-4x2-6at-_JM
