marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
peugeot,207,1.6 Xt,1587 cc,1,2900000,ARS,2009,62000 km,0,1,MLA1430909372,https://auto.mercadolibre.com.ar/MLA-1430909372-peugeot-207-compact-16-4ptas-xt-2009-imolaautos-_JM
peugeot,207,1.6 Sedan Xt Premium,1.6 L,1,2850000,ARS,2009,65000 km,0,1,MLA1424528114,https://auto.mercadolibre.com.ar/MLA-1424528114-peugeot-207-xt-compact-16-lp-_JM
peugeot,207,1.4 Xs,1360 cc,1,2650000,ARS,2009,120000 km,0,1,MLA1362962639,https://auto.mercadolibre.com.ar/MLA-1362962639-peugeot-207-compact-xs-miami-cars-_JM
peugeot,207,1.6 Xt,1.6 L,1,3200000,ARS,2009,67000 km,0,1,MLA1428754330,https://auto.mercadolibre.com.ar/MLA-1428754330-peugeot-207-16-xt-tiptronic-5p-_JM
peugeot,207,1.6 Sedan Xt Premium,1587 cc,1,2700000,ARS,2009,98000 km,0,1,MLA1426246826,https://auto.mercadolibre.com.ar/MLA-1426246826-peugeot-207-2009-16-sedan-xt-premium-_JM
peugeot,207,1.4 Sedan Xs,1.4 L,1,2200000,ARS,2009,184000 km,0,1,MLA1437354494,https://auto.mercadolibre.com.ar/MLA-1437354494-peugeot-207-compact-14-xsallure-caja-manual-gnc-ano-2009-_JM
peugeot,207,1.4 Xs,1.4 L,1,2400000,ARS,2009,155000 km,0,1,MLA1374197635,https://auto.mercadolibre.com.ar/MLA-1374197635-peugeot-207-2009-14-xs-_JM
peugeot,207,1.9 Sedan Xs,1868 cc,0,2370000,ARS,2009,141000 km,0,1,MLA1430833368,https://auto.mercadolibre.com.ar/MLA-1430833368-impecable-peugeot-207-compact-xs-19d-ano-2009-con-141000km-_JM
peugeot,207,2.0 Sedan Xt Hdi,2 L,0,2500000,ARS,2009,121000 km,0,1,MLA1432276246,https://auto.mercadolibre.com.ar/MLA-1432276246-peugeot-207-20-hdi-_JM
peugeot,207,1.6 Rc 175cv,1.6 L,1,12000,USD,2009,52600 km,0,1,MLA1373061363,https://auto.mercadolibre.com.ar/MLA-1373061363-peugeot-207-2009-16-rc-175cv-_JM
peugeot,207,1.4 Xr,1.4 L,1,3000000,ARS,2009,92000 km,0,1,MLA1372608821,https://auto.mercadolibre.com.ar/MLA-1372608821-peugeot-207-xr-_JM
peugeot,207,2.0 Sedan Xt Hdi,2 L,0,2450000,ARS,2009,165000 km,0,1,MLA1428538852,https://auto.mercadolibre.com.ar/MLA-1428538852-peugeot-207-compact-xt-hdi-20-_JM
peugeot,207,2.0 Sedan Xt Hdi,1997 cc,0,2199000,ARS,2009,129000 km,0,1,MLA1373383727,https://auto.mercadolibre.com.ar/MLA-1373383727-peugeot-207-2009-20-sedan-xt-hdi-_JM
peugeot,207,1.6 CC 150cv,1997 cc,1,4200000,ARS,2009,146000 km,0,1,MLA1373063987,https://auto.mercadolibre.com.ar/MLA-1373063987-peugeot-207-16-cc-150cv-_JM
peugeot,207,1.4 Xs,1360 cc,1,2700000,ARS,2009,95000 km,0,1,MLA1431242734,https://auto.mercadolibre.com.ar/MLA-1431242734-peugeot-207-2009-14-xs-_JM
peugeot,207,1.6 Xt,1.6 L,1,3500000,ARS,2009,145000 km,0,1,MLA1437432448,https://auto.mercadolibre.com.ar/MLA-1437432448-peugeot-207-compact-xt-16-at-du-_JM
peugeot,207,2.0 Sw Hdi Xt,1997 cc,0,2300000,ARS,2009,213000 km,0,1,MLA1428232100,https://auto.mercadolibre.com.ar/MLA-1428232100-peugeot-207-2009-20-sw-hdi-xt-_JM
peugeot,207,2.0 Sedan Xt Hdi,2 L,0,5000,USD,2009,110000 km,0,1,MLA1373408841,https://auto.mercadolibre.com.ar/MLA-1373408841-peugeot-207-2009-20-sedan-xt-hdi-_JM
peugeot,207,2.0 Sw Hdi Xt,1997 cc,0,2250000,ARS,2009,135000 km,0,1,MLA1374327049,https://auto.mercadolibre.com.ar/MLA-1374327049-peugeot-207-sw-hdi-2009-_JM
peugeot,207,1.4 Xr,1360 cc,1,2700000,ARS,2009,128333 km,0,1,MLA1434994930,https://auto.mercadolibre.com.ar/MLA-1434994930-peugeot-compact-xr-14-5p-segundo-dueno-_JM
peugeot,207,1.4 Sedan Xs,1.4 L,1,2100000,ARS,2009,146000 km,0,1,MLA1372016601,https://auto.mercadolibre.com.ar/MLA-1372016601-peugeot-207-2009-compact-xs-14-_JM
peugeot,207,1.6 Sedan Xt Tiptronic,1.6 L,1,7200,USD,2009,92000 km,0,0,MLA1369285185,https://auto.mercadolibre.com.ar/MLA-1369285185-peugeot-207-2009-16-sedan-xt-tiptronic-_JM
peugeot,207,1.9 Sedan Xs,1.9 L,0,2350000,ARS,2009,130000 km,0,1,MLA1374186959,https://auto.mercadolibre.com.ar/MLA-1374186959-peugeot-207-compact-xs-19-diesel-2009-_JM
peugeot,207,1.6 Xt,1.6 L,1,2250000,ARS,2009,132000 km,0,1,MLA1372800867,https://auto.mercadolibre.com.ar/MLA-1372800867-2009-peugeot-207-sw-xt-_JM
peugeot,207,RC 300hp,1.6 L,1,29500,USD,2009,134000 km,0,1,MLA1422294758,https://auto.mercadolibre.com.ar/MLA-1422294758-peugeot-207-rc-300hp-_JM
peugeot,207,1.4 Sedan Xs,1.4 L,1,2400000,ARS,2009,139000 km,0,1,MLA1409525514,https://auto.mercadolibre.com.ar/MLA-1409525514-peugeot-207-14-sedan-xs-2009-139000km-_JM
peugeot,207,1.4 Xs,1.4 L,1,3900,USD,2009,203900 km,0,1,MLA1415956712,https://auto.mercadolibre.com.ar/MLA-1415956712-peugeot-207-2009-14-xs-_JM
peugeot,207,1.4 Sedan Xs,1360 cc,1,2200000,ARS,2009,255000 km,0,1,MLA1438277708,https://auto.mercadolibre.com.ar/MLA-1438277708-peugeot-207-2009-14-sedan-xs-_JM
peugeot,207,1.4 Xs,1.4 L,1,2300000,ARS,2009,110000 km,0,1,MLA1431663394,https://auto.mercadolibre.com.ar/MLA-1431663394-peugeot-207-2009-14-xs-_JM
peugeot,207,1.6 Xs,1.6 L,1,2300000,ARS,2009,150000 km,0,1,MLA1413864018,https://auto.mercadolibre.com.ar/MLA-1413864018-peugeot-207-2009-16-xs-_JM
peugeot,207,1.4 Xs,1.4 L,1,2500000,ARS,2009,140000 km,0,1,MLA1372301611,https://auto.mercadolibre.com.ar/MLA-1372301611-peugeot-207-compact-xs-14-5p-_JM
peugeot,207,1.6 Sedan Xt Tiptronic,1.6 L,1,3000000,ARS,2009,104000 km,0,0,MLA1436547122,https://auto.mercadolibre.com.ar/MLA-1436547122-peugeot-207-2009-16-sedan-xt-tiptronic-_JM
peugeot,207,2.0 Sedan Xt Hdi Premium,1997 cc,0,2500000,ARS,2009,195000 km,0,1,MLA1371573437,https://auto.mercadolibre.com.ar/MLA-1371573437-peugeot-207-hs-hdi-20-_JM
peugeot,207,1.4 Sedan Xs,1.4 L,1,2400000,ARS,2009,170000 km,0,1,MLA1412295958,https://auto.mercadolibre.com.ar/MLA-1412295958-peugeot-207-2009-14-sedan-xs-_JM
peugeot,207,"1,9 5 P XS D",1.4 L,0,3200000,ARS,2009,87990 km,0,1,MLA1373461673,https://auto.mercadolibre.com.ar/MLA-1373461673-peugeot-207-19-5-p-xs-d-_JM
peugeot,207,1.9 Sedan Xs,1.9 L,0,2250000,ARS,2009,185000 km,0,1,MLA1372420531,https://auto.mercadolibre.com.ar/MLA-1372420531-peugeot-207-2009-19-sedan-xs-_JM
peugeot,207,1.6 Xt,1.6 L,1,2290000,ARS,2009,110000 km,0,1,MLA1372010967,https://auto.mercadolibre.com.ar/MLA-1372010967-peugeot-_JM
peugeot,207,2.0 Sedan Xt Hdi,2 L,0,2200000,ARS,2009,185000 km,0,1,MLA1373573635,https://auto.mercadolibre.com.ar/MLA-1373573635-peugeot-207-2009-20-sedan-xt-hdi-_JM
peugeot,207,1.4 Xr,1.4 L,1,2380000,ARS,2011,155000 km,0,1,MLA1372011355,https://auto.mercadolibre.com.ar/MLA-1372011355-peugeot-207-14-xr-5-p-2009-_JM
peugeot,207,1.4 Xs,1360 cc,1,2599800,ARS,2009,80000 km,0,1,MLA1409528344,https://auto.mercadolibre.com.ar/MLA-1409528344-peugeot-207-2009-14-xs-_JM
peugeot,207,2.0 Sedan Xt Hdi Premium,1997 cc,0,2300000,ARS,2009,145000 km,0,1,MLA1368664731,https://auto.mercadolibre.com.ar/MLA-1368664731-peugeot-207-2009-20-sedan-xt-hdi-premium-_JM
peugeot,207,1.6 Sedan Xt Tiptronic,1.6 L,1,2850000,ARS,2009,87000 km,0,0,MLA1372376389,https://auto.mercadolibre.com.ar/MLA-1372376389-peugeot-207-compact-16-5-ptas-xt-tiptronic-ano-2009-unico-_JM
peugeot,207,1.6 Xt,1.6 L,1,2851000,ARS,2009,87000 km,0,1,MLA1372462327,https://auto.mercadolibre.com.ar/MLA-1372462327-peugeot-207-compact-16-5-ptas-xt-tiptronic-ano-2009-nuevo--_JM
peugeot,207,1.6 Xt,1.6 L,1,5900,USD,2009,114500 km,0,1,MLA1421638314,https://auto.mercadolibre.com.ar/MLA-1421638314-peugeot-207-16-xt-_JM
peugeot,207,1.4 Xs,1360 cc,1,1950000,ARS,2009,204390 km,0,1,MLA1406741078,https://auto.mercadolibre.com.ar/MLA-1406741078-peugeot-207-2009-14-xs-_JM
peugeot,207,1.6 Coupe Turbo 150 Cv,1598 cc,1,4750000,ARS,2009,97000 km,0,1,MLA1426293304,https://auto.mercadolibre.com.ar/MLA-1426293304-peugeot-207-cc-2009-16-thp-excelente-automotores-martin-_JM
peugeot,207,1.4 Xr,1360 cc,1,2199000,ARS,2009,120000 km,0,1,MLA1435301680,https://auto.mercadolibre.com.ar/MLA-1435301680-peugeot-207-2009-5-ptas-xr-active-14-nafta-_JM
peugeot,207,1.4 Xs,1.4 L,1,2310000,ARS,2009,116000 km,0,1,MLA1431663440,https://auto.mercadolibre.com.ar/MLA-1431663440-peugeot-207-2009-14-xs-_JM
