marca,modelo,version,motor,nafta,precio,moneda,año,kms,awd,manual,id ml,link
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,25000,USD,2009,220000 km,1,0,MLA1373398611,https://auto.mercadolibre.com.ar/MLA-1373398611-toyota-sw4-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,22000,USD,2008,283450 km,1,0,MLA1361306253,https://auto.mercadolibre.com.ar/MLA-1361306253-toyota-sw4-4x4-srv-30-tdi-at-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,23000,USD,2010,228000 km,1,0,MLA1371564991,https://auto.mercadolibre.com.ar/MLA-1371564991-toyota-sw4-30-srv-cuero-4x4-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,19890,USD,2010,348000 km,1,0,MLA1434730676,https://auto.mercadolibre.com.ar/MLA-1434730676-toyota-hilux-sw4-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,18500,USD,2008,197000 km,1,1,MLA1371699131,https://auto.mercadolibre.com.ar/MLA-1371699131-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,19500,USD,2009,260000 km,1,0,MLA1432745932,https://auto.mercadolibre.com.ar/MLA-1432745932-toyota-sw4-2009-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,23000,USD,2010,198000 km,1,1,MLA1425001254,https://auto.mercadolibre.com.ar/MLA-1425001254-toyota-sw4-2010-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 l Srv 4x4 7 Asientos,2982 cc,0,23000,USD,2010,179345 km,1,1,MLA1436853342,https://auto.mercadolibre.com.ar/MLA-1436853342-toyota-sw4-30-l-srv-4x4-7-asientos-muchos-accesorios-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,26000,USD,2010,196300 km,1,0,MLA1374323071,https://auto.mercadolibre.com.ar/MLA-1374323071-toyota-sw4-2010-30-i-srv-at-ccuero-4x4-2010-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,19800,USD,2008,225000 km,1,0,MLA1431974104,https://auto.mercadolibre.com.ar/MLA-1431974104-toyota-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,19500,USD,2008,180000 km,1,0,MLA1430485722,https://auto.mercadolibre.com.ar/MLA-1430485722-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,Srv,2982 cc,0,8900000,ARS,2009,346000 km,1,0,MLA1424644718,https://auto.mercadolibre.com.ar/MLA-1424644718-toyota-hilux-sw4-srv-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,18500,USD,2009,206000 km,1,1,MLA1370647393,https://auto.mercadolibre.com.ar/MLA-1370647393-toyota-sw4-30l-mt-cuero-3fast-charliebrokers-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,20000,USD,2010,317000 km,1,0,MLA1368380277,https://auto.mercadolibre.com.ar/MLA-1368380277-toyota-hilux-sw4-4x4-srv-30-tdi-at-cuero-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,15000,USD,2008,270000 km,1,1,MLA1428893998,https://auto.mercadolibre.com.ar/MLA-1428893998-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),3 L,0,18000,USD,2011,394500 km,1,1,MLA1373532551,https://auto.mercadolibre.com.ar/MLA-1373532551-toyota-sw4-30tdi-srv-mt-2011-4x4-3filas-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,25000,USD,2009,187000 km,1,0,MLA1374393581,https://auto.mercadolibre.com.ar/MLA-1374393581-toyota-hilux-sw4-30-td-srv-cuero-at-4x4-2009-carbone-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,21500,USD,2008,199000 km,1,1,MLA1370510117,https://auto.mercadolibre.com.ar/MLA-1370510117-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
