marca,modelo,version,motor,nafta,precio,moneda,anio,kms,awd,manual,id ml,link
volkswagen,golf,1.4 Highline Tsi Dsg,1.4 L,1,23990,USD,2017,35000 km,0,0,MLA1373146839,https://auto.mercadolibre.com.ar/MLA-1373146839-vw-volkswagen-golf-2017-highline-at-dsg-abasto-motors-_JM
volkswagen,golf,1.4 Highline Tsi Dsg,1395 cc,1,23000,USD,2017,61000 km,0,0,MLA1425212998,https://auto.mercadolibre.com.ar/MLA-1425212998-volkswagen-golf-highline-2017-14-tsi-at-dsg-smart-garage-_JM
volkswagen,golf,2.0 Gti Tsi App Connect + Cuero,1395 cc,1,32000,USD,2017,80000 km,0,0,MLA1370184374,https://auto.mercadolibre.com.ar/MLA-1370184374-volkswagen-golf-20-gti-tsi-app-connect-_JM
volkswagen,golf,1.4 Comfortline Tsi Dsg,1.4 L,1,16500,USD,2017,69700 km,0,0,MLA1437761238,https://auto.mercadolibre.com.ar/MLA-1437761238-volkswagen-golf-14-comfortline-tsi-dsg-2017-_JM
volkswagen,golf,1.4 Highline Tsi Dsg,1.4 L,1,21500,USD,2017,92300 km,0,0,MLA1425625766,https://auto.mercadolibre.com.ar/MLA-1425625766-volkswagen-golf-14-highline-tsi-dsg-2017-_JM
volkswagen,golf,1.4 Highline Tsi Dsg,1.4 L,1,24500,USD,2017,75000 km,0,0,MLA1421026116,https://auto.mercadolibre.com.ar/MLA-1421026116-volkswagen-golf-14-highline-tsi-dsg-_JM
volkswagen,golf,1.4 Comfortline Tsi,1395 cc,1,7950000,ARS,2017,47000 km,0,1,MLA1374335919,https://auto.mercadolibre.com.ar/MLA-1374335919-volkswagen-golf-2017-14-comfortline-tsi-_JM
volkswagen,golf,2.0 Gti Tsi,1395 cc,1,31500,USD,2017,50000 km,0,0,MLA1410732570,https://auto.mercadolibre.com.ar/MLA-1410732570-volkswagen-golf-20-gti-dsg-at-2017-imolaautos-_JM
volkswagen,golf,2.0 Gti Tsi App Connect + Cuero,1395 cc,1,30500,USD,2017,79000 km,0,0,MLA1433802500,https://auto.mercadolibre.com.ar/MLA-1433802500-volkswagen-golf-gti-_JM
volkswagen,golf,1.4 Highline Tsi Dsg,1.4 L,1,11500000,ARS,2017,44763 km,0,0,MLA1426274708,https://auto.mercadolibre.com.ar/MLA-1426274708-volkswagen-golf-highline-14-tsi-dsg-_JM
volkswagen,golf,1.6 Trendline,1.6 L,1,5970000,ARS,2017,85000 km,0,1,MLA1419946110,https://auto.mercadolibre.com.ar/MLA-1419946110-vw-golf-16-variant-trendline-2017-1-ano-de-garantia-_JM
volkswagen,golf,1.4 Comfortline Tsi,1.4 L,1,16500,USD,2017,60000 km,0,1,MLA1372544219,https://auto.mercadolibre.com.ar/MLA-1372544219-vw-golf-14-tsi-mt-_JM
volkswagen,golf,1.4 Highline Tsi Dsg,1.4 L,1,11500000,ARS,2017,44763 km,0,0,MLA1425772948,https://auto.mercadolibre.com.ar/MLA-1425772948-volkswagen-golf-14-highline-tsi-dsg-_JM
volkswagen,golf,1.4 Comfortline Tsi Dsg,1.4 L,1,7900000,ARS,2017,66000 km,0,0,MLA1417271528,https://auto.mercadolibre.com.ar/MLA-1417271528-volkswagen-golf-vii-14-tsi-comfortline-dsg-2017-imolaautos-_JM
