,model_ID,trim
0,63686,3.0 V6 Extreme
1,63686,3.0 V6 Cd Highline
2,63686,2.0 Cd Tdi 140cv 4x2 Startline
3,63686,2.0 Cd Tdi 180cv Comfortline
4,63686,2.0 Cd Tdi 180cv 4x4 Highline Pack At
5,63686,2.0 Cd Tdi 4x4 Highline Pack At C34
6,63686,2.0 Cd Tdi 180cv 4x2 Highline Pack At
7,63686,3.0 V6 Cd Comfortline
8,63686,2.0 Cd Tdi 140cv Trendline
9,63686,2.0 Cd Tdi 180cv 4x2 Trendline B33
10,63686,2.0 Cd Tdi 180cv Comfortline At
11,63686,3.0 V6 Extreme Black Style
12,63686,3.0 V6
13,63686,2.0 Cd Tdi 180cv 4x4 Highline Pack
14,63686,2.0 Cd Tdi 180cv 4x2 Highline Pack
15,63686,3.0 V6 Cd
16,63686,2.0 Cd Tdi 180cv 4x4 Highline C34
17,63686,2.0 Cd Tdi 140cv Trendline Llantas16
18,63686,2.0 Cd Tdi 180cv 4x2 Trendline
19,63686,2.0 Cd Tdi 180cv 4x2 Highline C33
20,63686,2.0 Cd Tdi 180cv 4x4 Trendline At
21,63686,2.0 Cd Tdi 180cv 4x2 Trendline At
22,63686,2.0 Cd Tdi 180cv 4x4 Trendline B34
23,63686,2.0 Cd Tdi 140cv 4x4 Startline
24,63686,2.0 Cd Tdi 4x4 Highline Pack C34
25,63686,2.0 Cd Tdi 163cv 4x4 Highline 1h0
26,63686,2.0 Cs Tdi 140cv 4x2 Startline
27,63686,2.0 Cd Tdi 4x2 Highline Pack At C34
28,63686,2.0 Cd Tdi 180cv Highline At
29,63686,2.0 Cd Tdi 180cv Comfortline 4x4
30,63686,2.0 Cd Tdi 4x2 Highline Pack C33
31,63686,2.0 Cd Tdi 180cv 4x4 Highline At
32,63686,2.0 Cd Tdi 4x4 Highline Cuero 1hc
33,63686,2.0 Cd Tdi 180cv 4x2 Startline A33
34,63686,2.0 Cd Tdi 163cv 4x2 Highline 1h2
35,63686,2.0 Cd Tdi 180cv Highline
36,63686,2.0 Cd Tdi 4x4 Highline Pack 1hp
37,63686,2.0 Cd Tdi 163cv 4x2 Trendline 1t2
38,63686,2.0 Cd Tdi 180cv 4x2 Dark Label
39,63686,2.0 Cd Tdi 180cv 4x4 Ultimate At
40,63686,2.0 Cs Tdi 140cv 4x4 Startline
41,63686,2.0 Cd Tdi 180cv 4x4 Dark Label
42,63686,2.0 Cd Tdi 180cv 4x2 Dark Label At
43,63686,2.0 Cd Tdi 163cv 4x4 Trendline 1t0
44,63686,2.0 Cd Tdi 180cv 4x4 Startline A34
45,63686,2.0 Cd Tdi 180cv 4x4 Trendline
46,63686,2.0 Cd Tdi 180cv 4x4 Dark Label At
47,63686,2.0 Cs Tdi 140cv Trendline 4x2
48,63686,2.0 Cs Tdi 140cv Trendline 4x4
49,63686,2.0 Cd Tdi 180cv 4x2 Ultimate At
50,63686,2.0 Cd Tdi 122cv 4x2 Startline S22
51,63686,2.0 Cd Tdi 180cv Comfortline At 4x4
52,63686,2.0 Cd Tdi 122cv 4x2 Startline St7
53,63686,2.0 Cd Tdi 163cv 4x2 Highline 2h2
54,63686,2.0 Cd Tdi 4x4 Highline Cuero Hc4
55,63686,2.0 Cd Tdi 163cv 4x2 Starline St3
56,63686,2.0 Cd Tdi 122cv 4x4 Startline S34
57,63686,2.0 Cd Tdi 163cv 4x4 Trendline Ll17
58,63686,2.0 Cd Tdi 180cv 4x2 Ultimate
59,63686,2.0 Cd Tdi 4x2 Highline Pack 1p2
60,63686,2.0 Cd Tdi 180cv 4x4 Black Package At
61,63686,2.0 Cd Tdi 163cv 4x2 Trendline 2t2
62,63686,2.0 Cd Tdi 180cv 4x4 Ultimate
63,63686,2.0 Cd Tdi 163cv 4x4 Highline 1h4
64,63686,2.0 Cd Tdi 180cv 4x4 Black Package
65,63686,2.0 Cd Tdi 163cv 4x4 Trendline 4t4
66,63686,2.0 Cd Tdi 163cv 4x4 Startline St5
67,63686,2.0 Cd Tdi 122cv 4x4 Startline St9
68,63686,2.0 Cd Tdi 4x2 Trendline + Rp Sensor
69,63686,2.0 Cd Tdi 4x2 Highline Pack 2
70,63686,2.0 Cd Tdi 4x2 Dark Label At Sensor
71,63686,2.0 Cd Tdi Trendline Llantas 16
72,63686,2.0 Cd Tdi 163cv 4x2 Startline S43
73,63686,2.0 Cd Tdi 4x2 Highline Cuero Hc2
74,63686,2.0 Cd Tdi 4x4 Highline Pack Hp4
75,63686,2.0 Cd Tdi 4x4 Trendline + Rp Sensor
76,63686,2.0 Cd Tdi 4x2 Highline Cuero Ch2
77,63686,2.0 Cd Tdi 4x4 Highline Pk Black Bhp
78,63686,2.0 Cd Tdi 163cv 4x4 Startline S45
79,63686,2.0 Cd Tdi 4x2 Highline Pack Zw1 C33
80,63686,2.0 Cd Tdi 4x2 Trendline Ll17 2t7
81,63686,2.0 Cd Tdi 4x2 Trendline Ll17 1t8
82,63686,2.0 Cd Tdi 4x4 Dark Label + Rp Sensor
83,63686,2.0 Cd Tdi 4x4 Highline Black Bh0
84,63686,2.0 Cd Tdi 4x4 Startline S/airbag St8
85,63686,2.0 Cd Tdi 4x4 Highline Pack Zw1 C34
86,63686,2.0 Cd Tdi 4x2 Trendline Ll17
87,63686,2.0 Cd Tdi 4x4 Trendline Llantas 17
88,63686,2.0 Cd Tdi 4x4 Trendline At Rp Sensor
89,63686,2.0 Cd Tdi 4x2 Trendline At Rp Sensor
90,63686,2.0 Cd Tdi 4x2 Startline S/airbag St6
91,63686,2.0 Cd Tdi 4x2 Dark Label + Rp Sensor
92,63686,2.0 Cd Tdi 4x2 Startline S/airbag S12
93,63686,2.0 Cs Tdi 4x2 Startline Pro.cre.auto
94,63686,2.0 Cd Tdi 4x4 Dark Label At Sensor
95,63686,2.0 Cd Tdi 4x4 Startline S/airbag S24
96,63686,2.0 Cs Tdi 140Cv Trendline
97,63613,2.8 Cd Srx 177cv 4x4 At
98,63613,2.8 Cd Srx 177cv 4x4
99,63613,2.8 Cd Srv 177cv 4x2
100,63613,2.8 Cd Srv 177cv 4x4
101,63613,2.4 Cd 150cv 4x2
102,63613,2.4 Cd Dx 150cv 4x2
103,63613,2.8 Cd Srv 177cv 4x4 At
104,63613,2.4 Cd Sr 150cv 4x2
105,63613,2.8 Cd Srx 177cv 4x2 At
106,63613,2.4 Cd Dx 150cv 4x4
107,63613,2.8 Cd Sr 177cv 4x4
108,63613,2.8 Cd Srv 177cv 4x2 At
109,63613,2.8 Cd Srv Pack 177cv 4x2
110,63613,2.5 Cd Dx Pack 120cv 4x2 - H3
111,63613,3.0 Cd Srv I 171cv 4x2
112,63613,3.0 D/cab 4x4 Srv Lim P/4
113,63613,3.0 Cd Srv I 171cv 4x4
114,63613,2.5 Cab Doble 4x2
115,63613,2.5 Cd Dx Pack I 120cv 4x4
116,63613,2.4 Cs Dx 150cv 4x2
117,63613,3.0 Cd Sr I 171cv 4x4
118,63613,3.0 I Srv Cab Doble 4x2 (2009)
119,63613,2.8 Cd Srx 177cv 4x2
120,63613,2.8 Cd Limited 177cv 4x4 At
121,63613,3.0 Cd Srv Cuero I 171cv 4x2
122,63613,2.8 D/cab 4x4 D Sr5
123,63613,2.4 Cs Dx 150cv 4x4
124,63613,3.0 I Sr Cab Doble 4x2 Doble Airbag
125,63613,3.0 D/cab 4x4 Srv Lim P/2
126,63613,2.5 Cd Dx Pack 120cv 4x4 - C3
127,63613,3.0 Cd Srv Cuero 4x4 5at - A4
128,63613,3.0 Cd Srv Cuero I 171cv 4x4 4at
129,63613,3.0 I Srv Cab Doble At 4x4 Cuero
130,63613,3.0 Cd Sr 171cv 4x2 - B3
131,63613,3.0 I Srv Cab Doble 4x4 Cuero
132,63613,3.0 Cd Sr I 171cv 4x2
133,63613,3.0 Cd Sr 171cv 4x4 - C3
134,63613,3.0 I Srv Cab Doble 4x4 (2009)
135,63613,2.8 D/cab 4x4 D Dlx
136,63613,3.0 D/cab 4x2 D Dx
137,63613,3.0 D/cab 4x4 Srv
138,63613,3.0 Cd Srv Cuero I 171cv 4x4
139,63613,3.0 Cd Srv 171cv 4x2 - B3
140,63613,2.8 Cd Limited 177cv 4x4
141,63613,2.5 Cd Dx Pack 120cv 4x2
142,63613,2.5 Cd Dx Pack I 120cv 4x2
143,63613,3.0 Cd Srv Cuero 171cv 4x2 - E4
144,63613,3.0 Cd Srv 171cv 4x4 - A3
145,63613,3.0 Cd Srv 171cv 4x2
146,63613,3.0 Cd Srv Cuero 171cv 4x4 - E4
147,63613,2.5 Dx Cab Doble 4x4 (2009)
148,63613,3.0 D/cab 4x2 D Srv
149,63613,2.5 Dx Cab Doble 4x2 (2009)
150,63613,2.5 Cd Dx Pack 120cv 4x4
151,63613,3.0 I Srv Cab Doble 4x2 Cuero
152,63613,2.8 S/cab 4x2 D
153,63613,3.0 Cd Srv Cuero 171cv 4x4 5at
154,63613,3.0 Cd Srv Cuero I 171cv 4x4 5at
155,63613,2.5 Dx Pack Cab Doble 4x4 (2009)
156,63613,2.5 Cs Dx I 120cv 4x2
157,63613,2.8 D/cab 4x2 D Dlx
158,63613,2.8 D/cab 4x2 D
159,63613,2.8 S/cab 4x4 D
160,63613,2.5 Dx Pack Cab Doble 4x2 (2009)
161,63613,2.5 Cs Dx Pack I 120cv 4x2
162,63613,3.0 D/cab 4x4 D Dx
163,63613,3.0 S/cab 4x2 D
164,63613,2.8 S/cab 4x4 D Sr5
165,63613,2.4 S/cab 4x2 D
166,63613,3.0 Cd Srv Cuero 171cv 4x2
167,63613,3.0 Cd Srv Limited 171cv 4x4 5at
168,63613,3.0 I Sr Cab Doble 4x4 Doble Airbag
169,63613,2.5 Dx Cab 4x4 (2009)
170,63613,2.5 Cs Dx Pack 120cv 4x4 - I3
171,63613,3.0 D/cab 4x4 Sr
172,63613,3.0 D/cab 4x4 D Sr
173,63613,2.8 D/cab 4x4 D
174,63613,3.0 Cd Srv 171cv 4x4
175,63613,3.0 Cd Srv Limited 171cv 4x4
176,63613,3.0 Cd Sr C/ab I 171cv 4x2
177,63613,2.5 Cd Dx Pack I 120cv 4x2 - H3
178,63613,2.5 Cover Cab Simple 4x4 Aberturas
179,63613,2.5 Cs Dx Pack 120cv 4x2 - D3
180,63613,2.5 Dx Cab Simple 4x4 (2009)
181,63613,2.4 D/cab 4x2 D
182,63613,3.0 Cd Sr C/ab 171cv 4x4
183,63613,3.0 Cd Srv Cuero 171cv 4x4
184,63613,3.0 I Sr Cab Doble 4x4 (2009)
185,63613,3.0 Cd Sr C/ab 171cv 4x4 - C3
186,63613,3.0 S/cab 4x4 D Dx
187,63613,2.5 Cs Dx Pack I 120cv 4x4
188,63613,2.5 Cs Dx I 120cv 4x4
189,63613,2.7 Cd Srv Vvti 4x2 - A3
190,63613,2.5 Cs Dx Pack 120cv 4x4
191,63613,2.5 Cover Cs Dx I 4x2 Ventanas
192,63613,3.0 D/cab 4x4 D Dx S/aa
193,63613,3.0 Cd Sr C/ab 171cv 4x2
194,63613,2.5 Cover Cab Simple 4x2 Aberturas
195,63613,2.8 S/cab 4x2 D Dlx
196,63613,2.7 S/cab 4x2 N Dx
197,63613,2.5 Dx Cab Simple 4x2 (2009)
198,63613,3.0 Cd Sr C/ab I 171cv 4x4
199,63613,2.5 Cd Dx Pack I 120cv 4x4 - C3
200,63613,3.0 Cd Srv Cuero I 171cv 4x2 - E4
201,63613,2.8 D/cab 4x4 D Sport E/lim
202,63613,2.7 Cd Srv Vvti 4x2 Cuero - B4
203,63613,2.5 Cover Cab Simple 4x2 Cerrada
204,63613,3.0 S/cab 4x2 D Aa
205,63613,2.5 Cover Cs Dx Pack I 4x2 Ventanas
206,63613,2.7 Cd Srv Vvti 4x4 Cuero - B4
207,63613,2.5 Cs Dx Pack 120cv 4x2
208,63613,3.0 Cd Srv I 171cv 4x4 - A3
209,63613,2.5 Cover Cab Simple 4x4 Cerrada
210,63613,2.5 Cover Cs Dx Pack 4x4 Cerrada
211,63613,3.0 Cd Srv Cuero I 4x4 5at - A4
212,63613,2.5 Cover Cs Dx I 120cv 4x4 Cerrada
213,63613,2.7 Cd Srv Vvti 4x2 Cuero
214,63613,2.5 Cover Cs Dx Pack I 4x2 Cerrada
215,63613,2.5 Cover Cs Dx Pack I 4x4 Cerrada
216,63613,3.0 Cd Srv I 171cv 4x2 - B3
217,63613,2.5 Cover Cs Dx I 120cv 4x2 Cerrada
218,63613,3.0 Cd Sr C/ab 171cv 4x2 - B3
219,63613,2.5 Cover Cs Dx Pack 4x2 Vent K3
220,63613,3.0 Cd Sr C/ab I 171cv 4x4 - C3
221,63613,2.7 D/cab 4x2 N Dx
222,63613,2.5 Cover Cs Dx I 4x4 Ventanas
223,63613,3.0 Cd Sr C/ab I 171cv 4x2 - B3
224,63613,2.7 Cd Srv Vvti 4x4 - A3
225,63613,2.7 Cd Srv Vvti 4x2
226,63613,2.5 Cover Cs Dx Pack I 4x4 Ventanas
227,63613,2.5 Cover Cs Dx Pack 4x2 Cerrada
228,63613,2.7 Cd Srv Vvti 4x4 Cuero
229,63613,2.5 Cover Cs Dx Pack 4x4 Vent M3
230,63613,2.4 S/cab 4x2 D S/dh
231,63613,2.5 Cs Dx Pack I 120cv 4x2 - D3
232,63613,2.5 Cover Cs Dx Pack 4x4 Ventanas
